Section,Score
Section1,85
Section1,68
Section1,69
Section1,52
Section1,68
Section1,95
Section1,80
Section1,74
Section1,63
Section1,74
Section1,66
Section1,69
Section1,71
Section1,80
Section1,77
Section1,77
Section1,66
Section1,72
Section1,72
Section1,79
Section1,67
Section1,69
Section1,67
Section1,75
Section1,75
Section1,77
Section1,76
Section1,65
Section1,72
Section1,77
Section2,91
Section2,84
Section2,92
Section2,78
Section2,78
Section2,70
Section2,73
Section2,87
Section2,59
Section2,75
Section2,84
Section2,83
Section2,97
Section2,80
Section2,75
Section2,83
Section2,89
Section2,74
Section2,86
Section2,70
Section2,82
Section2,76
Section2,79
Section2,91
Section2,99
Section2,75
Section2,96
Section2,85
Section2,81
Section2,91
Section3,74
Section3,69
Section3,62
Section3,78
Section3,54
Section3,67
Section3,67
Section3,84
Section3,66
Section3,73
Section3,78
Section3,42
Section3,44
Section3,43
Section3,72
Section3,68
Section3,71
Section3,63
Section3,70
Section3,74
Section3,43
Section3,75
Section3,73
Section3,77
Section3,47
Section3,74
Section3,57
Section3,44
Section3,69
Section3,41
